"ID" "Ordine_presentazione" "TAM_1" "TAM_2" "TAM_3" "TAM_4" "TAM_5" "TAM_6" "TAM_7" "TAM_8" "TAM_9" "TAM_10" "TAM_11" "TAM_12" "TAM_13" "TAM_14" "TAM_15" "TAM_16" "TAM_17" "TAM_18"
"163" "SOG_0041_Source2" 1 3 3 4 1 3 3 2 2 3 3 3 2 5 5 5 1 4 2
"164" "SOG_0042_Source2" 1 3 2 2 2 3 3 4 4 4 4 3 3 3 3 3 3 3 3
"165" "SOG_0043_Source2" 1 3 4 3 3 2 3 3 4 3 3 2 3 3 4 3 4 3 4
"166" "SOG_0044_Source2" 1 4 4 4 1 4 4 2 2 4 4 4 4 4 5 4 2 2 2
"167" "SOG_0045_Source2" 1 4 3 4 1 3 5 1 1 4 4 1 4 4 5 5 1 4 1
"168" "SOG_0046_Source2" 2 5 4 5 3 2 5 3 3 3 4 1 3 5 5 5 1 4 3
"169" "SOG_0047_Source2" 1 3 3 3 2 3 3 3 3 3 3 1 3 3 5 3 3 4 3
"170" "SOG_0048_Source2" 1 3 4 3 1 3 4 2 2 4 4 2 4 4 4 4 2 4 3
"171" "SOG_0049_Source2" 1 3 4 2 2 3 3 3 3 3 4 1 2 3 5 4 1 5 5
"172" "SOG_0050_Source2" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1
"173" "SOG_0051_Source2" 2 2 3 5 1 4 5 2 2 4 3 4 3 4 5 5 4 4 2
"174" "SOG_0052_Source2" 2 4 4 4 1 4 4 1 1 3 3 1 2 4 5 2 2 2 2
"175" "SOG_0053_Source2" 2 4 3 3 3 1 2 3 4 1 1 1 1 3 4 4 3 3 2
"176" "SOG_0054_Source2" 2 5 3 5 4 4 3 2 1 1 5 1 1 2 5 5 3 5 2
"177" "SOG_0055_Source2" 2 4 3 2 3 1 2 1 2 1 2 1 1 1 5 3 3 3 1
"178" "SOG_0056_Source2" 2 2 4 4 1 3 4 3 3 5 4 4 4 4 5 3 4 3 2
"179" "SOG_0057_Source2" 2 4 3 4 1 3 3 1 1 3 2 1 2 4 5 3 1 3 2
"180" "SOG_0058_Source2" 2 5 4 4 1 4 4 1 3 3 3 3 4 3 5 4 3 3 4
"181" "SOG_0059_Source2" 2 4 3 2 2 2 3 3 3 3 3 1 3 4 5 4 2 4 3
"182" "SOG_0060_Source2" 2 4 4 3 1 4 4 2 1 4 4 2 4 4 5 5 4 4 3
"183" "SOG_0061_Source2" 2 4 4 3 1 5 4 1 1 3 3 1 1 4 4 5 3 5 3
"184" "SOG_0062_Source2" 2 4 3 2 1 3 3 1 2 2 2 2 4 5 5 4 1 4 1
"185" "SOG_0063_Source2" 2 4 4 4 1 4 5 1 1 4 4 5 4 5 5 5 1 5 1
"186" "SOG_0064_Source2" 2 4 4 3 1 3 4 3 3 3 4 1 3 5 5 5 1 4 2
"187" "SOG_0065_Source2" 2 5 5 2 1 4 5 1 1 4 4 2 4 5 5 5 3 5 1
"188" "SOG_0066_Source2" 1 3 3 2 1 3 4 3 3 2 2 3 3 4 5 3 1 2 3
"189" "SOG_0067_Source2" 1 3 3 3 1 3 4 1 1 1 3 3 3 5 5 4 1 5 1
"190" "SOG_0068_Source2" 1 3 1 1 1 3 4 1 1 1 1 1 1 1 5 1 3 5 2
"191" "SOG_0069_Source2" 1 5 5 1 1 5 4 1 1 1 5 1 1 3 5 5 1 5 1
"192" "SOG_0070_Source2" 1 5 4 4 1 4 5 1 1 5 2 1 3 5 5 5 1 5 2
"193" "SOG_0071_Source2" 1 3 3 3 1 3 4 2 3 3 3 1 2 3 4 3 1 4 2
"194" "SOG_0072_Source2" 1 4 4 2 3 4 5 1 1 4 4 1 3 4 5 4 2 5 4
"195" "SOG_0073_Source2" 1 5 3 4 2 4 4 2 2 4 2 2 3 4 4 3 2 2 3
"196" "SOG_0074_Source2" 1 4 4 5 1 5 5 1 1 4 3 1 3 5 5 5 1 5 2
"197" "SOG_0075_Source2" 1 2 3 2 1 4 4 1 3 4 2 3 4 4 4 4 2 4 2
"198" "SOG_0076_Source2" 1 4 3 2 1 3 4 2 1 3 2 3 3 4 5 3 3 4 2
"199" "SOG_0077_Source2" 1 4 3 2 1 3 4 1 1 4 3 2 3 4 5 3 3 2 2
"200" "SOG_0078_Source2" 1 4 3 1 1 3 4 3 1 3 3 1 1 4 5 1 3 1 3
"201" "SOG_0079_Source2" 1 4 3 2 2 3 3 3 2 2 1 1 2 3 NA 3 2 NA NA
"202" "SOG_0080_Source2" 1 3 3 2 1 2 3 3 3 4 2 1 3 4 NA 2 4 NA 2
"203" "SOG_0081_Source2" 1 4 3 4 1 3 5 1 2 4 4 2 3 4 5 3 1 5 4
"204" "SOG_0082_Source2" 1 4 4 2 1 4 4 1 1 2 2 2 2 4 5 4 2 4 2
"205" "SOG_0083_Source2" 1 5 3 5 1 3 4 1 2 3 5 2 3 4 5 4 2 4 2
"206" "SOG_0084_Source2" 1 3 3 4 2 2 4 1 1 5 4 1 2 3 5 5 2 5 1
"207" "SOG_0085_Source2" 1 4 4 4 2 3 4 1 1 4 4 1 4 4 NA NA 2 4 2
"208" "SOG_0086_Source2" 1 4 3 4 2 4 4 2 2 4 4 1 4 3 4 4 1 4 2
"209" "SOG_0087_Source2" 1 4 3 4 1 4 4 1 1 4 4 1 2 4 5 5 1 5 2
"210" "SOG_0088_Source2" 1 4 4 3 1 4 5 1 1 5 2 3 3 4 5 5 1 5 1
"211" "SOG_0089_Source2" 1 5 3 2 1 2 4 2 2 3 2 3 4 4 5 2 2 4 4
"212" "SOG_0090_Source2" 1 4 4 3 1 4 4 3 2 5 3 1 3 5 5 5 1 5 1
"213" "SOG_0091_Source2" 1 3 4 4 2 4 4 2 4 4 3 3 4 4 5 4 3 4 3
"214" "SOG_0092_Source2" 1 4 4 4 1 4 4 1 1 2 4 1 3 4 NA 4 2 5 2
"215" "SOG_0093_Source2" 1 3 3 3 1 2 4 1 1 5 1 1 3 1 5 1 1 4 1
"216" "SOG_0094_Source2" 1 4 3 2 1 4 5 1 1 4 3 3 3 5 5 4 1 5 3
"217" "SOG_0095_Source2" 1 4 3 1 1 1 2 1 1 1 1 1 1 4 5 2 2 5 5
"218" "SOG_0096_Source2" 1 5 2 4 4 2 3 2 2 1 3 2 2 4 4 2 2 4 4
"219" "SOG_0097_Source2" 1 4 3 4 3 4 4 1 4 4 3 2 3 4 4 4 1 4 3
"220" "SOG_0098_Source2" 1 4 3 3 2 2 4 4 3 2 3 1 1 2 4 4 2 4 4
"221" "SOG_0099_Source2" 1 4 3 4 2 4 4 2 2 2 4 1 3 4 4 4 2 4 2
"222" "SOG_0100_Source2" 1 4 2 2 3 2 4 4 1 2 2 1 2 1 5 2 4 2 1
"223" "SOG_0001_Source3" 1 2 3 2 2 2 4 2 2 2 1 5 4 4 4 2 2 1 NA
"224" "SOG_0002_Source3" 1 4 3 2 2 2 4 2 2 3 3 1 3 3 4 4 1 5 3
"225" "SOG_0003_Source3" 1 3 3 2 1 2 4 2 2 2 2 1 2 3 4 4 2 4 4
"226" "SOG_0004_Source3" 1 5 3 4 1 3 4 2 2 1 4 2 3 4 5 5 1 5 4
"227" "SOG_0005_Source3" 1 4 4 4 1 4 4 1 1 4 4 1 4 4 4 4 1 4 1
"228" "SOG_0006_Source3" 1 5 2 2 2 1 5 5 5 5 2 5 5 1 NA 2 2 1 2
"229" "SOG_0007_Source3" 1 3 5 4 1 1 5 1 1 5 3 5 5 5 5 4 1 2 1
"230" "SOG_0008_Source3" 1 4 3 4 2 4 3 2 2 3 4 1 1 1 5 5 4 5 5
"231" "SOG_0009_Source3" 2 5 NA NA 1 4 5 1 1 5 5 4 5 5 5 5 2 4 1
"232" "SOG_0010_Source3" 2 3 4 3 3 2 4 2 2 4 3 3 NA 5 5 4 1 4 1
"233" "SOG_0011_Source3" 2 5 4 2 2 2 4 2 3 4 3 3 4 5 5 3 2 2 3
"234" "SOG_0012_Source3" 2 4 4 4 1 3 2 2 2 3 1 2 4 4 5 4 1 5 3
"235" "SOG_0013_Source3" NA 5 3 3 1 4 5 1 1 3 4 1 4 5 5 5 1 4 3
"236" "SOG_0014_Source3" 1 4 NA 3 1 3 4 2 2 2 3 1 4 4 5 3 1 5 2
"237" "SOG_0015_Source3" 2 4 3 2 1 3 4 2 2 3 1 1 1 3 4 2 3 2 2
"238" "SOG_0016_Source3" 2 5 4 2 1 3 5 1 3 4 4 2 4 5 5 5 1 4 1
"239" "SOG_0017_Source3" 1 4 3 3 1 2 4 3 4 2 1 5 4 4 5 2 3 1 1
